unified_id;month;zipcode;city;host_type;bedrooms;bathrooms;guests;revenue;openness;occupancy;nightly rate;lead time;length stay
AIR10308344;2019-4;92315;Big Bear Lake;Single Owners;3;1.5;9;0;30;0;;;
AIR10308344;2019-5;92315;Big Bear Lake;Single Owners;3;1.5;9;0;4;0;;;
AIR10344705;2019-1;92314;Big Bear City;2-5 Units;3;1;5;1504,789978;31;0,322580645;150,4789978;22;3,25
AIR10344705;2019-10;92314;Big Bear City;2-5 Units;3;1;5;0;31;0;;;
AIR10344705;2019-11;92314;Big Bear City;2-5 Units;3;1;5;0;30;0;;;
AIR10344705;2019-12;92314;Big Bear City;2-5 Units;3;1;5;1286,839966;31;0,258064516;160,8549957;101;4
AIR10344705;2019-2;92314;Big Bear City;2-5 Units;3;1;5;2021,739944;28;0,464285714;155,5184573;19,25;2,5
AIR10344705;2019-3;92314;Big Bear City;2-5 Units;3;1;5;595,9199829;31;0,129032258;148,9799957;4,75;1
AIR10344705;2019-4;92314;Big Bear City;2-5 Units;3;1;5;0;30;0;;;
AIR10344705;2019-5;92314;Big Bear City;2-5 Units;3;1;5;148,9799957;31;0,032258065;148,9799957;2;1
AIR10344705;2019-6;92314;Big Bear City;2-5 Units;3;1;5;595,9199829;30;0,133333333;148,9799957;2;1
AIR10344705;2019-7;92314;Big Bear City;2-5 Units;3;1;5;595,9199829;31;0,129032258;148,9799957;2;2
AIR10344705;2019-8;92314;Big Bear City;2-5 Units;3;1;5;148,9799957;31;0,032258065;148,9799957;2;1
AIR10344705;2019-9;92314;Big Bear City;2-5 Units;3;1;5;148,9799957;30;0,033333333;148,9799957;2;1
AIR10368261;2019-1;92315;Big Bear Lake;Professionals;3;2;8;8719,039795;31;0,516129032;544,9399872;75,5;4
AIR10368261;2019-2;92315;Big Bear Lake;Professionals;3;2;8;4404,489899;28;0,357142857;440,4489899;100,3333333;3,333333333
AIR10368261;2019-3;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
AIR10368261;2019-4;92315;Big Bear Lake;Professionals;3;2;8;0;30;0;;;
AIR10368261;2019-5;92315;Big Bear Lake;Professionals;3;2;8;0;31;0;;;
