unified_id;month;hot_tub;pool
AIR28182527;2022-12;0;0
AIR28223108;2022-12;0;0
AIR28285055;2022-12;0;0
AIR28285304;2022-12;1;0
AIR28318890;2022-12;1;0
AIR28335260;2022-12;1;1
AIR28341216;2022-12;0;0
AIR2835654;2022-12;0;0
AIR28358740;2022-12;1;1
AIR2838924;2022-12;1;1
AIR28435957;2022-12;0;0
AIR28514669;2022-12;1;1
AIR28520431;2022-12;0;0
AIR28568770;2022-12;0;0
AIR28607882;2022-12;0;0
AIR28638591;2022-12;1;0
AIR28693145;2022-12;1;1
AIR28718198;2022-12;0;0
AIR28767933;2022-12;1;0
AIR28834224;2022-12;0;0
AIR28862662;2022-12;1;0
AIR28890070;2022-12;0;1
AIR28960257;2022-12;0;0
AIR28962995;2022-12;1;0
AIR29055533;2022-12;1;0
AIR29106956;2022-12;1;0
AIR29149253;2022-12;1;0
AIR29152596;2022-12;0;0
AIR29181453;2022-12;0;0
AIR29259889;2022-12;0;0
AIR29278041;2022-12;1;0
AIR2934685;2022-12;1;0
AIR29416492;2022-12;1;1
AIR29416913;2022-12;0;0
AIR29483862;2022-12;1;0
AIR29489715;2022-12;1;0
AIR29494983;2022-12;0;0
AIR2950663;2022-12;0;0
AIR29521386;2022-12;1;0
AIR29521399;2022-12;0;0
AIR29539946;2022-12;1;0
AIR29543123;2022-12;0;0
AIR29549556;2022-12;0;0
AIR29587863;2022-12;1;0
AIR29589383;2022-12;1;1
AIR29626350;2022-12;1;0
AIR29679031;2022-12;0;0
AIR29708560;2022-12;1;0
AIR29756280;2022-12;1;0
AIR29802006;2022-12;0;0
AIR29830749;2022-12;0;0
AIR29851372;2022-12;1;0
AIR29897877;2022-12;0;0
AIR30015793;2022-12;1;0
AIR30019598;2022-12;1;0
AIR30131073;2022-12;0;0
AIR30145508;2022-12;1;0
AIR30145518;2022-12;0;0
AIR30145525;2022-12;1;0
AIR30145531;2022-12;1;0
AIR30145533;2022-12;0;0
AIR30145544;2022-12;0;0
AIR30145546;2022-12;1;0
AIR30145547;2022-12;0;0
AIR30145556;2022-12;0;0
AIR30145601;2022-12;0;0
AIR30145602;2022-12;1;0
AIR30145604;2022-12;0;0
AIR30201417;2022-12;1;1
AIR30319100;2022-12;1;0
AIR30343969;2022-12;0;0
AIR30349317;2022-12;0;0
AIR30354843;2022-12;0;0
AIR30407007;2022-12;0;0
AIR30448871;2022-12;1;0
AIR30512235;2022-12;0;1
AIR30514475;2022-12;0;0
AIR30530093;2022-12;1;0
AIR30537601;2022-12;1;0
AIR30675134;2022-12;1;1
AIR30677742;2022-12;1;0
AIR30679333;2022-12;0;0
AIR30679493;2022-12;1;0
AIR30692949;2022-12;1;0
AIR30717873;2022-12;1;0
AIR30744844;2022-12;1;1
AIR30763903;2022-12;1;0
AIR30792412;2022-12;1;0
AIR30881441;2022-12;1;0
AIR30886430;2022-12;0;0
AIR30936332;2022-12;0;1
AIR30962543;2022-12;0;0
AIR30998195;2022-12;0;0
AIR31056450;2022-12;1;0
AIR31058298;2022-12;0;0
AIR31084278;2022-12;0;0
AIR31121936;2022-12;0;0
AIR31175820;2022-12;0;0
AIR31191498;2022-12;1;1
AIR31193851;2022-12;1;0
AIR31194867;2022-12;1;0
AIR31202518;2022-12;0;0
