unified_id;month;street_name;latitude;longitude
AIR17830005;2022-12;;34,24474;-116,87627
AIR17909602;2022-12;;34,24699;-116,89731
AIR17924654;2022-12;;34,23985;-116,86063
AIR18003964;2022-12;;34,25069;-116,90088
AIR18105126;2022-12;;34,12578;-116,34337
AIR18121333;2022-12;;34,24122;-116,94367
AIR18193860;2022-12;;34,24427;-116,87622
AIR18232399;2022-12;;34,25537;-116,86533
AIR18235116;2022-12;;34,23474;-116,85354
AIR18313664;2022-12;Los Angeles Avenue;34,23229;-116,85876
AIR18343563;2022-12;;34,23966;-116,86695
AIR18347608;2022-12;;34,23567;-116,85067
AIR184262;2022-12;;34,1133;-116,28571
AIR18448029;2022-12;;34,23587;-116,85723
AIR18462952;2022-12;;34,24244;-116,87596
AIR18543482;2022-12;;34,27061;-116,8433
AIR18567243;2022-12;;34,26101;-116,836
AIR18567371;2022-12;;34,24028;-116,86409
AIR18567474;2022-12;;34,23743;-116,87161
AIR18567553;2022-12;;34,24879;-116,89787
AIR18567624;2022-12;;34,23997;-116,92725
AIR18567675;2022-12;;34,23951;-116,85442
AIR18651707;2022-12;;34,22759;-116,85574
AIR18703258;2022-12;Balsam Drive;34,24073;-116,89083
AIR18722813;2022-12;;34,11828;-116,33661
AIR18874839;2022-12;;34,24332;-116,86237
AIR18895308;2022-12;;34,24478;-116,92505
AIR18917105;2022-12;Switzerland Drive;34,23689;-116,86056
AIR18917106;2022-12;;34,25814;-116,84999
AIR18998787;2022-12;;34,2633;-116,8422
AIR19019245;2022-12;;34,13244;-116,32174
AIR19033667;2022-12;Switzerland Drive;34,23559;-116,86542
AIR19033707;2022-12;;34,24986649;-116,9007111
AIR19035499;2022-12;Switzerland Drive;34,23827;-116,92564
AIR19081482;2022-12;Comstock Lane;34,24091;-116,89006
AIR19244512;2022-12;;34,27098;-116,85897
AIR19317721;2022-12;Edgemoor Road;34,23583;-116,90066
AIR19332170;2022-12;;34,13728;-116,35134
AIR19360866;2022-12;Olympic Drive;34,23677;-116,88618
AIR19383702;2022-12;Olympic Drive;34,25536;-116,87342
AIR19386566;2022-12;;34,16756439;-116,3302155
AIR19403293;2022-12;;34,25758;-116,81571
AIR19406789;2022-12;;34,10349;-116,41843
AIR19506963;2022-12;;34,23873;-116,89913
AIR1970683;2022-12;Willow Landing Road;34,23922;-116,94652
AIR19722838;2022-12;;34,10642;-116,45429
AIR19749104;2022-12;;34,2459;-116,87623
AIR19810986;2022-12;Windsong Place;34,248;-116,89939
AIR20074610;2022-12;;34,24736;-116,80321
AIR20120805;2022-12;;34,18451;-116,37916
AIR20184724;2022-12;;34,250198;-116,872108
AIR20184725;2022-12;;34,2423;-116,89654
AIR20184735;2022-12;;34,24542;-116,94388
AIR20184741;2022-12;;34,243141;-116,943047
AIR20184746;2022-12;;34,240467;-116,959465
AIR20184750;2022-12;;34,257992;-116,851227
AIR20184754;2022-12;;34,231216;-116,845612
AIR20184760;2022-12;;34,243519;-116,924408
AIR20189213;2022-12;;34,203;-116,42459
AIR20193224;2022-12;;34,2449;-116,90451
AIR20211077;2022-12;;34,24339676;-116,9233856
AIR20217277;2022-12;;34,23436;-116,85682
AIR20232436;2022-12;;34,245552;-116,898773
AIR20232441;2022-12;;34,262001;-116,813004
AIR20309826;2022-12;;34,23329;-116,85152
AIR20393622;2022-12;;34,24435;-116,86485
AIR20420503;2022-12;;34,2412;-116,86121
AIR20428024;2022-12;;34,23812;-116,92766
AIR20447177;2022-12;;34,12868;-116,30823
AIR20450589;2022-12;;34,2294;-116,84351
AIR20456529;2022-12;;34,24156;-116,89025
AIR20608995;2022-12;;34,27115;-116,85759
AIR20616515;2022-12;;34,24093;-116,88948
AIR20623968;2022-12;;34,24723;-116,89995
AIR20625865;2022-12;;34,23626;-116,831
AIR20695812;2022-12;;34,25316;-116,90376
AIR20696692;2022-12;;34,23619;-116,86198
AIR20829623;2022-12;;34,2488;-116,8658
AIR20836494;2022-12;;34,24116;-116,93634
AIR20844432;2022-12;;34,24441;-116,93064
AIR20875230;2022-12;;34,27011;-116,8662
AIR20993345;2022-12;;34,26247;-116,86069
AIR20996593;2022-12;;34,23622;-116,85097
AIR21024122;2022-12;;34,25007;-116,9362
AIR21079905;2022-12;;34,24226;-116,95019
AIR21082012;2022-12;;34,24143;-116,89268
AIR21149200;2022-12;;34,237282;-116,918037
AIR21149203;2022-12;;34,227451;-116,857521
AIR21149204;2022-12;;34,23061;-116,848618
AIR21149210;2022-12;;34,24501;-116,900597
AIR21149217;2022-12;;34,249077;-116,936592
AIR21149221;2022-12;;34,239388;-116,886856
AIR21149222;2022-12;;34,265675;-116,850639
AIR21149223;2022-12;;34,231472;-116,843102
AIR21149224;2022-12;;34,245831;-116,900269
AIR21154906;2022-12;;34,24515;-116,86818
AIR21266440;2022-12;;34,12365341;-116,0884628
AIR21289349;2022-12;;34,231003;-116,843414
AIR21354543;2022-12;;34,2404;-116,90654
AIR21359235;2022-12;;34,22917;-116,84756
AIR21367725;2022-12;;34,23957;-116,85769
AIR21368567;2022-12;;34,24536;-116,87034
AIR21384024;2022-12;;34,24597;-116,86789
AIR21438826;2022-12;;34,24267;-116,85766
AIR21440198;2022-12;;34,25002;-116,83039
AIR21451498;2022-12;;34,2336;-116,91392
AIR21473739;2022-12;;34,23448;-116,85091
AIR21476331;2022-12;;34,23827;-116,84574
AIR21500024;2022-12;;34,23457;-116,85958
AIR21500446;2022-12;;34,19352;-116,41383
AIR21527691;2022-12;;34,22964;-116,84772
AIR21541299;2022-12;;34,25678;-116,82116
AIR21582359;2022-12;;34,23655;-116,85079
AIR21594054;2022-12;;34,24083;-116,94254
AIR21610728;2022-12;;34,24371;-116,868
AIR21611305;2022-12;;34,09345;-116,3915
AIR21623109;2022-12;;34,24137;-116,92266
AIR21663239;2022-12;;34,12541;-116,33199
AIR21681203;2022-12;;34,230186;-116,85862
AIR21701935;2022-12;;34,19366;-116,42854
AIR21711487;2022-12;;34,24354;-116,80576
AIR21717242;2022-12;;34,2591;-116,84956
AIR21749401;2022-12;;34,24767;-116,87379
AIR21753106;2022-12;;34,24114;-116,89518
AIR21768145;2022-12;;34,231377;-116,84787
AIR21768475;2022-12;;34,23821;-116,91417
AIR21770116;2022-12;;34,25895;-116,32012
AIR21802861;2022-12;;34,23447;-116,85531
AIR21830441;2022-12;;34,09924;-116,30183
AIR21838159;2022-12;;34,240627;-116,959366
AIR21838354;2022-12;;34,23774;-116,84774
AIR21847421;2022-12;;34,24143;-116,88901
AIR21848033;2022-12;;34,24376;-116,88198
AIR21848231;2022-12;;34,23943;-116,85797
AIR21850098;2022-12;;34,23821;-116,89811
AIR21850181;2022-12;;34,26507;-116,83152
AIR21850216;2022-12;;34,23654;-116,85278
AIR21852068;2022-12;;34,24388;-116,89525
AIR21852145;2022-12;;34,23068;-116,84178
AIR21852181;2022-12;;34,25033;-116,88047
AIR21852321;2022-12;;34,24915;-116,87691
AIR21924286;2022-12;;34,24707;-116,8988
AIR21927129;2022-12;;34,12025;-116,33004
AIR21927647;2022-12;;34,27108;-116,86276
AIR21934237;2022-12;;34,09681;-116,38701
AIR21937014;2022-12;;34,23255;-116,85729
AIR21937066;2022-12;;34,24772;-116,89646
AIR21937833;2022-12;;34,11205;-116,32832
AIR22013713;2022-12;;34,24188;-116,87071
AIR22028034;2022-12;;34,18935;-116,33069
AIR22119257;2022-12;;34,2376;-116,88805
AIR22236930;2022-12;;34,12363;-116,27519
AIR22283623;2022-12;;34,09047;-116,29326
AIR22294413;2022-12;;34,24142;-116,88852
AIR22296723;2022-12;;34,23682;-116,91273
AIR22345879;2022-12;;34,24287;-116,93129
AIR22409644;2022-12;;34,24074;-116,87263
AIR22420197;2022-12;;34,14726;-116,37217
AIR22443488;2022-12;;34,12789;-116,26627
AIR22452364;2022-12;;34,24648;-116,92851
AIR22657246;2022-12;;34,24070358;-116,8863602
AIR22770748;2022-12;;34,235184;-116,849365
AIR22850694;2022-12;;34,25089;-116,86638
AIR22886448;2022-12;;34,23184;-116,85457
AIR22889273;2022-12;;34,2443;-116,87464
AIR22890321;2022-12;;34,11147;-116,30378
AIR22940120;2022-12;;34,12061;-116,31357
AIR23020352;2022-12;;34,24408;-116,87751
AIR23036720;2022-12;;34,24605;-116,90343
AIR2305425;2022-12;El Dorado Drive;34,09793;-116,44719
AIR23094837;2022-12;;34,25946;-116,82312
AIR23150637;2022-12;;34,09897;-116,28695
AIR23203257;2022-12;;34,25977;-116,83701
AIR23258225;2022-12;;34,09107;-116,30239
AIR23292587;2022-12;;34,11284;-116,4063
AIR23386508;2022-12;;34,23135;-116,85686
AIR2343684;2022-12;Sand Canyon Court;34,23433;-116,8529
AIR23438325;2022-12;;34,24742;-116,23678
AIR23469171;2022-12;;34,23893;-116,94617
AIR23503416;2022-12;;34,24682236;-116,8987427
AIR23543580;2022-12;;34,09873;-116,30344
AIR23547295;2022-12;;34,23971;-116,85991
AIR23630559;2022-12;;34,22974;-116,85952
AIR23668704;2022-12;;34,15109;-116,4322
AIR23702546;2022-12;;34,25069;-116,87227
AIR23715521;2022-12;;34,23003;-116,84389
AIR23768171;2022-12;;34,24476;-116,93217
AIR23784019;2022-12;;34,25946;-116,85936
AIR23793421;2022-12;;34,12007;-116,34581
AIR23862135;2022-12;;34,24136;-116,90559
AIR23899141;2022-12;;34,13768;-116,41002
AIR23942538;2022-12;;34,26185;-116,83582
AIR24013535;2022-12;;34,15116;-116,37408
AIR24038529;2022-12;;34,20889;-116,38221
AIR24045096;2022-12;;34,14159;-116,31331
AIR24178318;2022-12;;34,24281;-116,85732
AIR24182317;2022-12;;34,15842;-116,30707
AIR24206667;2022-12;;34,24235;-116,8247
AIR24221022;2022-12;;34,14294;-116,31496
AIR24232505;2022-12;;34,23611;-116,88716
AIR24255105;2022-12;;34,13908;-116,41505
AIR24287359;2022-12;;34,11478;-116,40227
AIR2430228;2022-12;Scandia Road;34,24647;-116,87759
AIR24309766;2022-12;;34,17267;-116,35218
AIR24315472;2022-12;;34,22726;-116,85398
AIR2431950;2022-12;Mountain Sky Drive;34,23815;-116,88636
AIR24555258;2022-12;;34,22741;-116,86463
AIR24637419;2022-12;;34,17267;-116,32046
AIR24655415;2022-12;;34,26051;-116,84338
AIR24660161;2022-12;;34,24097;-116,88956
AIR24700767;2022-12;;34,14924;-116,42077
AIR2477352;2022-12;Ridgecrest Drive;34,22971;-116,85229
AIR24800579;2022-12;;34,25194;-116,42193
AIR24831057;2022-12;;34,10458;-116,44395
AIR2483588;2022-12;Thrush Drive;34,23908;-116,89288
AIR24857702;2022-12;;34,2388;-116,89984
AIR24938059;2022-12;;34,13464;-116,41012
AIR24988387;2022-12;;34,23518;-116,84684
AIR24989883;2022-12;;34,239388;-116,887085
AIR25012960;2022-12;;34,20069;-116,50202
AIR25026507;2022-12;;34,240307;-116,92849
AIR2510074;2022-12;Robinhood Boulevard;34,25983;-116,86403
AIR25130869;2022-12;;34,24155;-116,89385
AIR25172825;2022-12;;34,25769;-116,85533
AIR25201967;2022-12;;34,11324;-116,31863
AIR2525902;2022-12;Club View Drive;34,22664;-116,86658
AIR25263812;2022-12;;34,24451;-116,80163
AIR25356728;2022-12;;34,26426;-116,87517
AIR25378892;2022-12;;34,24603;-116,86807
AIR25499481;2022-12;;34,2389;-116,87469
AIR25732632;2022-12;;34,151588;-116,300522
AIR25779086;2022-12;;34,24113;-116,92526
AIR25786600;2022-12;;34,22662;-116,85465
AIR25893671;2022-12;;34,23612;-116,83574
AIR25981294;2022-12;;34,24156;-116,91475
AIR26170882;2022-12;;34,11842;-116,38807
AIR26261918;2022-12;;34,11629;-116,3277
AIR26279903;2022-12;;34,26074;-116,82519
AIR26327847;2022-12;;34,22865;-116,8426
AIR26331936;2022-12;;34,12359;-116,27533
AIR26339365;2022-12;;34,13282;-116,28012
AIR263614;2022-12;Myrtle Avenue;34,26848;-116,84745
AIR26361848;2022-12;;34,23889;-116,89632
AIR26441505;2022-12;;34,24806;-116,89611
AIR26568598;2022-12;;34,24512;-116,8796
AIR26636567;2022-12;;34,24814;-116,45605
AIR26657947;2022-12;;34,24905;-116,45604
AIR26668356;2022-12;;34,24445;-116,87472
AIR26668975;2022-12;;34,24592;-116,89687
AIR26869243;2022-12;;34,23904;-116,88894
AIR27042685;2022-12;;34,2372;-116,89848
AIR27054872;2022-12;;34,12335;-116,33206
AIR27159211;2022-12;;34,24791;-116,92906
AIR27208638;2022-12;;34,23417;-116,84968
AIR2740053;2022-12;;34,23219;-116,86414
AIR27431980;2022-12;;34,24374;-116,87805
AIR27503814;2022-12;;34,22857;-116,86408
AIR27530624;2022-12;;34,18171;-116,35216
AIR27531781;2022-12;;34,09292;-116,31408
AIR27557510;2022-12;;34,26543;-116,83354
AIR2760821;2022-12;Switzerland Place;34,23813;-116,88946
AIR27634479;2022-12;;34,09271;-116,31611
AIR2770668;2022-12;Wolf Road;34,23387;-116,85104
AIR27730468;2022-12;;34,12665;-116,32017
AIR27734166;2022-12;;34,25077;-116,86519
AIR27760550;2022-12;;34,24717;-116,89027
AIR27784773;2022-12;;34,19624;-116,38497
AIR27853688;2022-12;;34,25832;-116,83494
AIR27900881;2022-12;;34,25173;-116,90414
AIR28033224;2022-12;;34,12808;-116,32047
AIR28105279;2022-12;;34,25544;-116,87673
AIR28134475;2022-12;;34,23937;-116,88516
AIR28181787;2022-12;;34,2353;-116,84773
AIR28182527;2022-12;;34,24098;-116,86264
AIR28223108;2022-12;;34,1237;-116,32261
AIR28285055;2022-12;;34,22732;-116,86458
AIR28285304;2022-12;;34,25802;-116,85432
AIR28318890;2022-12;;34,23574;-116,87278
AIR28335260;2022-12;;34,08207;-116,39053
AIR28341216;2022-12;;34,24047;-116,85558
AIR2835654;2022-12;Rockspray Court;34,22518;-116,85393
AIR28358740;2022-12;;34,18455;-116,31135
AIR2838924;2022-12;Park Boulevard;34,13101;-116,31674
AIR28435957;2022-12;;34,24841;-116,93409
AIR28514669;2022-12;;34,1046;-116,31448
AIR28520431;2022-12;;34,242;-116,90754
AIR28568770;2022-12;;34,15418;-116,37308
AIR28607882;2022-12;;34,23927;-116,8735
AIR28638591;2022-12;;34,12869;-116,31263
AIR28693145;2022-12;;34,12472;-116,32883
AIR28718198;2022-12;;34,24853;-116,8992
AIR28767933;2022-12;;34,2469;-116,92754
AIR28834224;2022-12;;34,23598;-116,93424
AIR28862662;2022-12;;34,2251;-116,84967
AIR28890070;2022-12;;34,15123;-116,30201
AIR28960257;2022-12;;34,24271;-116,92738
AIR28962995;2022-12;;34,25103;-116,86622
AIR29055533;2022-12;;34,24512;-116,87505
AIR29106956;2022-12;;34,24742;-116,87722
AIR29149253;2022-12;;34,14181;-116,31839
AIR29152596;2022-12;;34,23999;-116,89053
AIR29181453;2022-12;;34,25888;-116,86592
AIR29259889;2022-12;;34,24468;-116,95436
AIR29278041;2022-12;;34,23807;-116,9595
AIR2934685;2022-12;Balsam Drive;34,2294;-116,86546
AIR29416492;2022-12;;34,2025;-116,3001
AIR29416913;2022-12;;34,24437;-116,94197
AIR29483862;2022-12;;34,24503;-116,90152
AIR29489715;2022-12;;34,22839;-116,86394
AIR29494983;2022-12;;34,22503;-116,85471
AIR2950663;2022-12;Summit Boulevard;34,24124;-116,88923
AIR29521386;2022-12;;34,24505;-116,95682
AIR29521399;2022-12;;34,24979;-116,9007
AIR29539946;2022-12;;34,23981;-116,92555
AIR29543123;2022-12;;34,24348;-116,9254
AIR29549556;2022-12;;34,24916458;-116,9393158
AIR29587863;2022-12;;34,09293;-116,29745
AIR29589383;2022-12;;34,21989;-116,24429
AIR29626350;2022-12;;34,24563;-116,94227
AIR29679031;2022-12;;34,15723;-116,43803
AIR29708560;2022-12;;34,22556;-116,85672
AIR29756280;2022-12;;34,24172;-116,87315
AIR29802006;2022-12;;34,24027;-116,90554
AIR29830749;2022-12;;34,24643;-116,86688
AIR29851372;2022-12;;34,24539;-116,94411
AIR29897877;2022-12;;34,26615;-116,78976
AIR30015793;2022-12;;34,23066;-116,84921
AIR30019598;2022-12;;34,24013;-116,89573
AIR30131073;2022-12;;34,23535;-116,85819
AIR30145508;2022-12;;34,23776;-116,9181
AIR30145518;2022-12;;34,23477;-116,86703
AIR30145525;2022-12;;34,24038;-116,8851
AIR30145531;2022-12;;34,24939;-116,89567
AIR30145533;2022-12;;34,24692;-116,89003
AIR30145544;2022-12;;34,24847;-116,92643
AIR30145546;2022-12;;34,2425;-116,8886
AIR30145547;2022-12;;34,25688;-116,86406
AIR30145556;2022-12;;34,23906;-116,88242
AIR30145601;2022-12;;34,24134;-116,86257
AIR30145602;2022-12;;34,24213;-116,86807
AIR30145604;2022-12;;34,23713;-116,8903
AIR30201417;2022-12;;34,13191;-116,31016
AIR30319100;2022-12;;34,23877;-116,9593
AIR30343969;2022-12;;34,24822;-116,9354
AIR30349317;2022-12;;34,21215;-116,27273
AIR30354843;2022-12;;34,23529;-116,88574
AIR30407007;2022-12;;34,23888;-116,86982
AIR30448871;2022-12;;34,24011;-116,92272
AIR30512235;2022-12;;34,15687;-116,30535
AIR30514475;2022-12;;34,22959;-116,85821
AIR30530093;2022-12;;34,23759;-116,88527
AIR30537601;2022-12;;34,24723;-116,92518
AIR30675134;2022-12;;34,12767;-116,25747
AIR30677742;2022-12;;34,25509;-116,85965
AIR30679333;2022-12;;34,22426;-116,85056
AIR30679493;2022-12;;34,25662;-116,87791
AIR30692949;2022-12;;34,23999;-116,86104
AIR30717873;2022-12;;34,23966;-116,88561
AIR30744844;2022-12;;34,22386;-116,22133
